comuna,entrada_electores,entrada_apruebo,entrada_rechazo,entrada_blancos,entrada_nulos,salida_electores,salida_apruebo,salida_rechazo,salida_blancos,salida_nulos,crec_apruebo,crec_rechazo,crec_nulos,crec_blancos,aumento_votantes,aumento_votantes_p,entrada_votos,entrada_abs,entrada_p_vot,salida_votos,salida_abs,salida_p_vot,crec_prob_voto,entrada_prob_apruebo,salida_prob_apruebo,entrada_prob_nulo,salida_prob_nulo,entrada_prob_blanco,salida_prob_blanco,entrada_prob_rechazo,salida_prob_rechazo,crec_prob_apruebo,crec_prob_rechazo,crec_prob_nulo,crec_prob_blanco,entrada_prob_votar,salida_prob_votar,crec_padron,crec_padron_porc
ALGARROBO,12896.0,4932,2118,13,23,15981.0,5128,8849,69,261,196,6731,238,56,3085.0,1.2392214640198511,7086,5810.0,0.5494727047146402,14307,1674.0,0.8952506100994931,0.345777905384853,0.38244416873449133,0.32088104624241287,0.0017834987593052108,0.016331894124272574,0.0010080645161290322,0.004317627182278956,0.16423697270471463,0.5537200425505288,-0.06156312249207846,0.38948306984581416,0.014548395364967364,0.002534128422973745,0.5494727047146402,0.8952506100994931,3085.0,23.92214640198511
ALHUE,4172.0,1600,191,0,4,6068.0,1807,3264,38,101,207,3073,97,38,1896.0,1.4544582933844679,1795,2377.0,0.43024928092042186,5210,858.0,0.8586025049439684,0.42835322402354653,0.3835091083413231,0.29779169413315754,0.0009587727708533077,0.016644693473961768,0.0,0.006262359920896506,0.04578139980824544,0.5379037574159525,-0.08571741420816559,0.49212235760770706,0.01568592070310846,0.005303587150043199,0.4302492809204219,0.8586025049439684,1896.0,45.445829338446785
ALTO BIOBIO,4252.0,980,327,36,59,5495.0,1263,3265,93,140,283,2938,81,57,1243.0,1.2923330197554093,1402,2850.0,0.3297271872060207,4761,734.0,0.8664240218380346,0.5366968346320139,0.23047977422389465,0.22984531392174704,0.013875823142050799,0.025477707006369428,0.008466603951081843,0.01692447679708826,0.07690498588899342,0.5941765241128298,-0.0006344603021476158,0.5172715382238364,0.01160188386431863,0.003048653655037462,0.32972718720602073,0.8664240218380346,1243.0,29.233301975540922
ALTO DEL CARMEN,3430.0,1086,173,7,6,5004.0,1324,2679,32,69,238,2506,63,25,1574.0,1.4588921282798835,1272,2158.0,0.37084548104956266,4104,900.0,0.8201438848920863,0.4492984038425237,0.3166180758017493,0.26458832933653076,0.001749271137026239,0.013788968824940047,0.0020408163265306124,0.006394884092725819,0.05043731778425656,0.5353717026378897,-0.05202974646521852,0.48493438485363316,0.012039697687913808,0.004645612955699581,0.37084548104956266,0.8201438848920863,1574.0,45.88921282798834
ALTO HOSPICIO,57742.0,21589,4534,37,98,62738.0,14219,37299,274,977,-7370,32765,879,237,4996.0,1.086522808354404,26258,31484.0,0.4547469779363375,52769,9969.0,0.8411010870604737,0.3863541091241362,0.37388729174604274,0.22664095125761102,0.0016972048075923937,0.015572699161592655,0.0006407814069481487,0.004367369058624757,0.07852169997575421,0.5945200675826453,-0.14724634048843172,0.5159983676068911,0.013875494354000262,0.0026701642510323633,0.45474697793633745,0.8411010870604737,4996.0,8.652280835440408
ANCUD,38000.0,11468,2509,30,65,38560.0,10265,21746,259,473,-1203,19237,408,229,560.0,1.0147368421052632,14072,23928.0,0.3703157894736842,32743,5817.0,0.8491441908713693,0.47882840139768507,0.30178947368421055,0.2662085062240664,0.0017105263157894738,0.012266597510373444,0.0007894736842105263,0.0067168049792531125,0.06602631578947368,0.5639522821576763,-0.035580967460144164,0.49792596636820263,0.01055607119458397,0.0050062786634636385,0.3703157894736842,0.8491441908713693,560.0,1.4736842105263157
ANDACOLLO,11221.0,5450,582,13,26,11252.0,4425,5192,102,186,-1025,4610,160,89,31.0,1.002762677123251,6071,5150.0,0.5410391230728099,9905,1347.0,0.8802879488091006,0.33924882573629067,0.4856964619909099,0.3932634198364735,0.002317084038855717,0.016530394596516174,0.0011585420194278584,0.009065055101315321,0.051867035023616434,0.4614290792747956,-0.09243304215443637,0.40956204425117915,0.014213310557660456,0.0067479710624596045,0.5410391230728099,0.8802879488091006,31.0,0.2762677123251047
ANGOL,47063.0,11868,7281,57,97,46818.0,7786,32045,182,520,-4082,24764,423,125,-245.0,0.9947942120136838,19303,27760.0,0.41015234897902814,40533,6285.0,0.865756760220428,0.4556044112413999,0.2521726196800034,0.16630355846042122,0.0020610670802966237,0.011106839249861165,0.0012111425111021397,0.0038873937374514075,0.15470751970762595,0.6844589687726943,-0.08586906121958215,0.5297514490650683,0.009045772169564542,0.0018263266571547838,0.41015234897902814,0.865756760220428,-245.0,-0.5205787986316215
ANTARTICA,269.0,10,21,0,0,171.0,9,47,0,0,-1,26,0,0,-98.0,0.6356877323420075,31,238.0,0.11524163568773234,56,115.0,0.32748538011695905,0.21224374442922672,0.03717472118959108,0.05263157894736842,0.0,0.0,0.0,0.0,0.07806691449814127,0.27485380116959063,0.015456857757777338,0.19678688667144936,0.0,0.0,0.11524163568773235,0.32748538011695905,-98.0,-36.43122676579926
ANTOFAGASTA,284389.0,119986,23533,130,430,292250.0,93293,144366,1497,4348,-26693,120833,3918,1367,7861.0,1.0276417161001306,144079,140310.0,0.5066264869597629,243504,48746.0,0.8332044482463644,0.32657796128660155,0.42190802035240466,0.31922326775021387,0.001512013474501475,0.014877673224978615,0.0004571203527562599,0.005122326775021386,0.08274933278010049,0.49398118049615053,-0.10268475260219079,0.41123184771605004,0.01336565975047714,0.0036103133005199106,0.5066264869597629,0.8332044482463643,7861.0,2.7641716100130456
ANTUCO,2434.0,723,231,2,10,4626.0,945,2659,26,67,222,2428,57,24,2192.0,1.9005751848808545,966,1468.0,0.39687756778964667,3697,929.0,0.7991785559878946,0.4023009881982479,0.2970419063270337,0.20428015564202334,0.004108463434675432,0.014483354950281021,0.0008216926869350862,0.005620406398616515,0.09490550534100246,0.5747946389969736,-0.09276175068501036,0.47988913365597113,0.01037489151560559,0.0015119429639410837,0.39687756778964667,0.7991785559878943,2192.0,90.05751848808545
ARAUCO,30844.0,10377,3986,44,60,31364.0,6888,20894,182,428,-3489,16908,368,138,520.0,1.0168590325509013,14467,16377.0,0.46903773829594086,28392,2972.0,0.9052416783573524,0.4362039400614115,0.33643496303981324,0.21961484504527484,0.0019452729866424588,0.013646218594567019,0.0014265335235378032,0.00580283127152149,0.12923096874594736,0.666177783445989,-0.1168201179945384,0.5369468147000416,0.01170094560792456,0.003857558284879031,0.4690377382959408,0.9052416783573524,520.0,1.685903255090131
ARICA,180024.0,63915,19674,165,421,182184.0,47629,94555,925,3331,-16286,74881,2910,760,2160.0,1.011998400213305,84175,95849.0,0.46757654534950893,146440,35744.0,0.803802748869275,0.3362262035197661,0.35503599520063994,0.26143349580643743,0.0023385770786117405,0.018283713169103762,0.0009165444607385682,0.0050772845035788,0.10928542860951873,0.519008255390155,-0.09360249939420251,0.4097228267806363,0.015945136090492022,0.0027387074249670593,0.467576545349509,0.8038027488692749,2160.0,1.1998400213304892
AYSEN,21292.0,6865,1611,17,40,22511.0,5916,10317,130,239,-949,8706,199,113,1219.0,1.0572515498778885,8533,12759.0,0.40076084914521887,16602,5909.0,0.7375061081249167,0.3367452589796978,0.3224215667856472,0.26280485096175205,0.0018786398647379298,0.010617031673404113,0.0007984219425136201,0.005774954466705166,0.07566222055232012,0.4583092710230554,-0.05961671582389516,0.3826470504707353,0.008738391808666182,0.0038963146019672366,0.40076084914521887,0.7375061081249167,1219.0,5.725154987788841
BUIN,73511.0,33238,7166,59,124,81379.0,27800,45754,455,954,-5438,38588,830,396,7868.0,1.1070316007128185,40587,32924.0,0.5521214512113833,74963,6416.0,0.9211590213691493,0.36903757015776595,0.4521500183645985,0.34161147224713995,0.001686822380324033,0.011722926062006169,0.0008026009712832093,0.005591123016994557,0.09748200949517759,0.5622335000430086,-0.11053854611745856,0.46475149054783105,0.010036103681682135,0.003904300636670524,0.5521214512113833,0.9211590213691494,7868.0,10.703160071281848
BULNES,19422.0,5297,2064,20,41,20880.0,4087,13865,140,263,-1210,11801,222,120,1458.0,1.0750695088044486,7422,12000.0,0.3821439604572135,18355,2525.0,0.8790708812260536,0.4969269207688401,0.272731953454845,0.1957375478927203,0.0021110081351045206,0.012595785440613027,0.0010297600659046442,0.006704980842911878,0.10627123880135929,0.6640325670498084,-0.07699440556212472,0.5577613282484492,0.010484777305508506,0.004593972707807357,0.3821439604572135,0.8790708812260536,1458.0,7.506950880444857
CABILDO,18037.0,7948,1100,16,35,17973.0,6292,9537,128,253,-1656,8437,218,112,-64.0,0.9964517380939181,9099,8938.0,0.5044630481787437,16210,1763.0,0.9019084181828299,0.3974453700040862,0.44064977546155126,0.3500806765704112,0.0019404557298885624,0.014076670561397652,0.0008870654765204856,0.007121793801813832,0.06098575151078339,0.5306292772492072,-0.09056909889114007,0.4696435257384238,0.01213621483150909,0.005181338071925269,0.5044630481787438,0.9019084181828299,-64.0,-0.35482619060819426
CABO DE HORNOS(EX-NAVARINO),1548.0,307,233,0,1,1715.0,298,813,0,2,-9,580,1,0,167.0,1.1078811369509043,541,1007.0,0.3494832041343669,1113,602.0,0.6489795918367347,0.2994963877023678,0.19832041343669252,0.17376093294460643,0.0006459948320413437,0.0011661807580174927,0.0,0.0,0.15051679586563307,0.4740524781341108,-0.02455948049208609,0.32353568226847773,0.000520185925976149,-0.0006459948320413437,0.34948320413436695,0.6489795918367347,167.0,10.78811369509044
CABRERO,22523.0,6202,2737,23,42,25802.0,4554,18448,159,306,-1648,15711,264,136,3279.0,1.1455845136083116,9004,13519.0,0.39976912489455224,23467,2335.0,0.9095031392915278,0.5097340143969755,0.27536296230519913,0.176497945895667,0.001864760467078098,0.01185954577164561,0.0010211783510189584,0.006162312998992326,0.12152022377125606,0.7149833346252229,-0.09886501640953213,0.5934631108539669,0.009994785304567511,0.0042975525319142276,0.39976912489455224,0.9095031392915278,3279.0,14.558451360831151
CALAMA,132447.0,52057,10280,91,355,129544.0,29751,72479,521,1996,-22306,62199,1641,430,-2903.0,0.9780817987572388,62783,69664.0,0.47402357169282805,104747,24797.0,0.8085824121533997,0.3345588404605716,0.3930402349619093,0.22965942073735565,0.0026803174099828612,0.015407892299141605,0.0006870672797420855,0.004021799543012413,0.07761595204119384,0.5594932995738899,-0.16338081422455367,0.48187734753269607,0.012727574889158743,0.001341482133029552,0.47402357169282816,0.8085824121533997,-2903.0,-2.1918201242761253
CALBUCO,29859.0,8210,2193,61,92,33033.0,6813,19262,253,400,-1397,17069,308,192,3174.0,1.1062996081583443,10556,19303.0,0.3535282494390301,26728,6305.0,0.8091302636757183,0.45560201423668817,0.2749589738437322,0.20624829715738807,0.003081148062560702,0.012109103018193927,0.0020429351284369872,0.007659007659007659,0.07344519240430021,0.5831138558411285,-0.06871067668634412,0.5096686634368283,0.009027954955633225,0.004577859596446957,0.3535282494390301,0.8091302636757182,3174.0,10.629960815834421
CALDERA,14652.0,6812,1127,12,34,15463.0,5993,7000,104,190,-819,5873,156,92,811.0,1.0553508053508054,7985,6667.0,0.544976794976795,13287,2176.0,0.8592769837677036,0.3143001887909086,0.4649194649194649,0.38757032917286427,0.0023205023205023203,0.01228739571881265,0.000819000819000819,0.006725732393455345,0.07691782691782692,0.4526935264825713,-0.07734913574660063,0.3757756995647443,0.00996689339831033,0.004405230072953024,0.5449767949767949,0.8592769837677036,811.0,5.535080535080535
CALERA,44986.0,20625,3361,45,94,44771.0,16599,21650,255,730,-4026,18289,636,210,-215.0,0.9952207353398835,24125,20861.0,0.5362779531409771,39234,5537.0,0.8763261932947667,0.34004824015378954,0.4584759703018717,0.37075338947086284,0.0020895389676788335,0.016305197560921133,0.0010003112079313564,0.005695651202787519,0.07471213266349531,0.48357195506019524,-0.08772258083100887,0.40885982239669993,0.0142156585932423,0.0036061122351086854,0.5362779531409771,0.8763261932947667,-215.0,-0.47792646601164807
CALERA DE TANGO,22016.0,9352,3340,17,41,22645.0,7078,13256,126,274,-2274,9916,233,109,629.0,1.0285701308139534,12750,9266.0,0.579124273255814,20734,1911.0,0.9156105100463678,0.3364862367905539,0.42478197674418605,0.31256347979686466,0.001862281976744186,0.012099801280635902,0.0007721656976744186,0.0055641421947449764,0.1517078488372093,0.5853830867741223,-0.11221849694732139,0.433675237936913,0.010237519303891716,0.0037018602180007906,0.5791242732558141,0.9156105100463678,629.0,2.8570130813953485
CALLE LARGA,11265.0,5607,955,10,37,11918.0,3839,6820,57,158,-1768,5865,121,47,653.0,1.0579671549045717,6609,4656.0,0.5866844207723036,10874,1044.0,0.9124014096324887,0.3257169888601851,0.4977363515312916,0.3221178050008391,0.0032845095428317797,0.01325725792918275,0.000887705281846427,0.004782681657996308,0.08477585441633377,0.5722436650444706,-0.1756185465304525,0.48746781062813677,0.00997274838635097,0.0014981721151645284,0.5866844207723035,0.9124014096324887,653.0,5.796715490457168
CAMARONES,2685.0,590,118,2,2,2680.0,571,1269,10,32,-19,1151,30,8,-5.0,0.9981378026070763,712,1973.0,0.26517690875232774,1882,798.0,0.7022388059701492,0.43706189721782146,0.21973929236499068,0.2130597014925373,0.0007448789571694599,0.011940298507462687,0.0007448789571694599,0.0037313432835820895,0.04394785847299814,0.4735074626865672,-0.006679590872453373,0.42955960421356904,0.011195419550293228,0.0029864643264126294,0.26517690875232774,0.7022388059701492,-5.0,-0.186219739292365
